price_mode,variant,trades,median_excess,avg_excess,win_excess,pf_excess,median_return,win_return,median_mae20,median_mfe20,pct_mae20_le_minus8,pct_mfe20_ge20,year
adj,baseline_0_40,8,-0.02292554863137005,0.08314662585761196,0.375,2.863357595878796,-0.0434243336244428,0.375,-0.1141324265550142,0.10611379787410265,0.75,0.375,2023
adj,baseline_0_40,4,-0.085404870976376,0.14507925345563755,0.25,2.8770108976967883,-0.10696509760978025,0.25,-0.16180353280723894,0.11802142952153555,0.75,0.25,2024
adj,baseline_0_40,8,0.0672231737772804,0.05641254016140079,0.625,2.2080432986634935,0.10147446916688854,0.75,-0.08862057960789779,0.20290387474853483,0.5,0.5,2025
adj,baseline_0_40,24,0.20088824060502325,0.2202468052762532,0.7916666666666666,7.730449321350541,0.3140231687135267,0.8333333333333334,-0.10159815818502335,0.502432753278647,0.5416666666666666,0.8333333333333334,2026
adj,floor15_15_40,6,-0.0457510940575878,0.10953119744380994,0.3333333333333333,2.96389187802948,-0.059386112566908095,0.3333333333333333,-0.1340828711980558,0.10611379787410265,0.8333333333333334,0.3333333333333333,2023
adj,floor15_15_40,3,-0.078263568350498,0.23955936669725086,0.3333333333333333,5.207477230956461,-0.0393939393939394,0.3333333333333333,-0.101010101010101,0.1313131313131312,0.6666666666666666,0.3333333333333333,2024
adj,floor15_15_40,6,0.10460105155316554,0.13284616584299178,0.8333333333333334,29.6688260640384,0.11899721512483044,1.0,-0.07573198078179896,0.2510166026375502,0.3333333333333333,0.6666666666666666,2025
adj,floor15_15_40,21,0.2008921251905897,0.21120429979331815,0.7619047619047619,6.647357087081793,0.3071161048689139,0.8095238095238095,-0.0953124989426609,0.5390625004180178,0.5238095238095238,0.8095238095238095,2026
adj,excluded_ret20_0_15,2,0.003992911099018,0.003992911099018,0.5,1.3574612853132062,0.019728007827261446,0.5,-0.0775988388144313,0.11794915093512835,0.5,0.5,2023
adj,excluded_ret20_0_15,1,-0.1383610862692024,-0.1383610862692024,0.0,0.0,-0.1745362558256211,0.0,-0.2225969646043769,0.0084317035984817,1.0,0.0,2024
adj,excluded_ret20_0_15,2,-0.17288833688337216,-0.17288833688337216,0.0,0.0,-0.12386868686868685,0.0,-0.14153724747474739,0.0078125,1.0,0.0,2025
adj,excluded_ret20_0_15,3,0.2008843560194568,0.28354434365679876,1.0,inf,0.3209302325581395,1.0,-0.1367441860465116,0.3209302325581395,0.6666666666666666,1.0,2026
raw,baseline_0_40,14,0.0605362394386068,0.13346185034865615,0.6428571428571429,5.561170630694788,0.08511593118922965,0.6428571428571429,-0.0547028330376243,0.22086038961038956,0.42857142857142855,0.5714285714285714,2023
raw,baseline_0_40,4,-0.08540486976720066,0.14507925473144245,0.25,2.8770109258606533,-0.1069650978588584,0.25,-0.16180353279847376,0.11802143052143049,0.75,0.25,2024
raw,baseline_0_40,8,0.0672231737772804,0.056412539632038516,0.625,2.2080432873274938,0.10147446916688854,0.75,-0.08862058080808075,0.20290387474853483,0.5,0.5,2025
raw,baseline_0_40,22,0.20088824060502325,0.2315728369047716,0.8181818181818182,8.631025312007075,0.3140231687135267,0.8181818181818182,-0.08727524204702619,0.5132633802573027,0.5,0.8636363636363636,2026
raw,floor15_15_40,9,0.0622141712614083,0.14468932218362052,0.5555555555555556,4.36221165239123,0.0091533180778031,0.5555555555555556,-0.0972727272727272,0.2363636363636363,0.5555555555555556,0.5555555555555556,2023
raw,floor15_15_40,3,-0.078263568350498,0.23955936856437618,0.3333333333333333,5.207477323319644,-0.0393939393939394,0.3333333333333333,-0.101010101010101,0.1313131313131312,0.6666666666666666,0.3333333333333333,2024
raw,floor15_15_40,6,0.10460104966098524,0.13284616513717543,0.8333333333333334,29.668825911719914,0.11899721323265014,1.0,-0.0757319819819819,0.2510166026375502,0.3333333333333333,0.6666666666666666,2025
raw,floor15_15_40,19,0.2008921251905897,0.22336680952287258,0.7894736842105263,7.356892089089451,0.3071161048689139,0.7894736842105263,-0.0666666666666666,0.5679012345679013,0.47368421052631576,0.8421052631578947,2026
raw,excluded_ret20_0_15,5,0.0588583076158053,0.11325240104572024,0.8,26.347013644109285,0.0857142857142856,0.8,-0.0482142857142857,0.2053571428571428,0.2,0.6,2023
raw,excluded_ret20_0_15,1,-0.1383610867673587,-0.1383610867673587,0.0,0.0,-0.1745362563237774,0.0,-0.2225969645868465,0.0084317032040472,1.0,0.0,2024
raw,excluded_ret20_0_15,2,-0.17288833688337216,-0.17288833688337216,0.0,0.0,-0.12386868686868685,0.0,-0.14153724747474739,0.0078125,1.0,0.0,2025
raw,excluded_ret20_0_15,3,0.2008843560194568,0.28354434365679876,1.0,inf,0.3209302325581395,1.0,-0.1367441860465116,0.3209302325581395,0.6666666666666666,1.0,2026
