price_mode,slice_type,slice_value,trades,median_excess,win_excess,median_return,median_ret20_signal,median_mae20,median_mfe20,pct_mae20_le_minus8,pct_mfe20_ge20
adj,year,2023,1,0.0303262056917026,1.0,0.0857142760581664,0.1239837488977655,-0.0482142877378106,0.2053571338045308,0.0,1.0
adj,year,2024,1,-0.1383610862692024,0.0,-0.1745362558256211,0.1420345497505599,-0.2225969646043769,0.0084317035984817,1.0,0.0
adj,year,2025,2,-0.17288833688337216,0.0,-0.12386868686868685,0.0995911543216814,-0.14153724747474739,0.0078125,1.0,0.0
adj,year,2026,3,0.2008843560194568,1.0,0.3209302325581395,0.1127167630057803,-0.1367441860465116,0.3209302325581395,0.6666666666666666,1.0
adj,industry_category,資訊服務業,1,-0.1383610862692024,0.0,-0.1745362558256211,0.1420345497505599,-0.2225969646043769,0.0084317035984817,1.0,0.0
adj,industry_category,電子工業,1,0.5194551165551624,1.0,0.6096938775510203,0.1127167630057803,-0.0331632653061224,1.0331632653061225,0.0,1.0
adj,industry_category,電子零組件業,4,0.08030988204373975,0.75,0.1531232977249006,0.1285569150992892,-0.15948320413436684,0.22625271138895742,0.75,0.75
adj,industry_category,電機機械,1,-0.1149241292437165,0.0,-0.0681818181818182,0.0660522273425499,-0.1008522727272727,0.015625,1.0,0.0
adj,path_class,deep_drawdown,2,-0.18460681539611512,0.0,-0.1770459056905883,0.1375823155256864,-0.2024095934132995,0.00421585179924085,1.0,0.0
adj,path_class,no_upside_followthrough,1,-0.1149241292437165,0.0,-0.0681818181818182,0.0660522273425499,-0.1008522727272727,0.015625,1.0,0.0
adj,path_class,winner,4,0.16558895720761685,1.0,0.27073127597488716,0.1183502559517729,-0.09247923689216109,0.28403926076576175,0.5,1.0
raw,year,2023,4,0.1137899958041049,1.0,0.1374471394546249,0.0962309271919107,-0.0297462406015037,0.2899871797987653,0.0,0.75
raw,year,2024,1,-0.1383610867673587,0.0,-0.1745362563237774,0.1420345489443377,-0.2225969645868465,0.0084317032040472,1.0,0.0
raw,year,2025,2,-0.17288833688337216,0.0,-0.12386868686868685,0.0995911543216814,-0.14153724747474739,0.0078125,1.0,0.0
raw,year,2026,3,0.2008843560194568,1.0,0.3209302325581395,0.1127167630057803,-0.1367441860465116,0.3209302325581395,0.6666666666666666,1.0
raw,industry_category,綠能環保,1,0.0588583076158053,1.0,0.0845175766641737,0.0291858678955454,-0.0022438294689601,0.1099476439790576,0.0,0.0
raw,industry_category,資訊服務業,1,-0.1383610867673587,0.0,-0.1745362563237774,0.1420345489443377,-0.2225969645868465,0.0084317032040472,1.0,0.0
raw,industry_category,電子工業,2,0.4250756491606993,1.0,0.47840583601861797,0.09471454588645176,-0.02222073039742205,0.7872583243823845,0.0,1.0
raw,industry_category,電子零組件業,4,0.08030988687179934,0.75,0.1531233025529602,0.1285569105691055,-0.15948320413436684,0.2262527159152634,0.75,0.75
raw,industry_category,電機機械,1,-0.1149241292437165,0.0,-0.0681818181818182,0.0660522273425499,-0.1008522727272727,0.015625,1.0,0.0
raw,industry_category,電腦及週邊設備業,1,0.1687216839924045,1.0,0.1891799931949642,0.1157495256166982,-0.0575025518883974,0.3746172167403878,0.0,1.0
raw,path_class,deep_drawdown,2,-0.18460681564519327,0.0,-0.17704590593966646,0.1375823151225753,-0.2024095934045343,0.0042158516020236,1.0,0.0
raw,path_class,no_upside_followthrough,1,-0.1149241292437165,0.0,-0.0681818181818182,0.0660522273425499,-0.1008522727272727,0.015625,1.0,0.0
raw,path_class,winner,7,0.1687216839924045,1.0,0.2205323193916348,0.1127167630057803,-0.0482142857142857,0.3209302325581395,0.2857142857142857,0.8571428571428571
