group,label,trades,retention,avg_return,median_return,win_return,pf_return,avg_excess,median_excess,win_excess,pf_excess,right_tail_20pct,right_tail_50pct,bad_loss_minus10pct,avg_ret60_signal,median_ret60_signal,mode,delta_median_excess,delta_win_excess,delta_right_tail_50pct
ret60_cap,adj: baseline,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
ret60_cap,adj: ret60 <= 120%,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
ret60_cap,adj: ret60 <= 150%,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
ret60_cap,adj: ret60 <= 200%,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
ret60_bucket,adj: ret60 <=120% only,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
ret60_bucket,adj: 120%<ret60<=150%,0,0.0,,,,,,,,,,,,,,adj,,,
ret60_bucket,adj: 150%<ret60<=200%,0,0.0,,,,,,,,,,,,,,adj,,,
ret60_bucket,adj: ret60>200%,0,0.0,,,,,,,,,,,,,,adj,,,
ret60_cap,raw: baseline,48,1.0,0.20881695600174352,0.16943170379355516,0.7083333333333334,6.798588362441601,0.1665559510993383,0.11421754934251345,0.6875,5.542399998561711,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.5342424542164765,0.44025442027982875,raw,0.0,0.0,0.0
ret60_cap,raw: ret60 <= 120%,46,0.9583333333333334,0.20998668424273,0.16943170379355516,0.6956521739130435,6.588109006473357,0.1646337509410969,0.1061752333729501,0.6739130434782609,5.302894397084737,0.41304347826086957,0.17391304347826086,0.17391304347826086,0.4994181806186949,0.40358036066868497,raw,-0.008042315969563354,-0.013586956521739135,0.007246376811594207
ret60_cap,raw: ret60 <= 150%,48,1.0,0.20881695600174352,0.16943170379355516,0.7083333333333334,6.798588362441601,0.1665559510993383,0.11421754934251345,0.6875,5.542399998561711,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.5342424542164765,0.44025442027982875,raw,0.0,0.0,0.0
ret60_cap,raw: ret60 <= 200%,48,1.0,0.20881695600174352,0.16943170379355516,0.7083333333333334,6.798588362441601,0.1665559510993383,0.11421754934251345,0.6875,5.542399998561711,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.5342424542164765,0.44025442027982875,raw,0.0,0.0,0.0
ret60_bucket,raw: ret60 <=120% only,46,0.9583333333333334,0.20998668424273,0.16943170379355516,0.6956521739130435,6.588109006473357,0.1646337509410969,0.1061752333729501,0.6739130434782609,5.302894397084737,0.41304347826086957,0.17391304347826086,0.17391304347826086,0.4994181806186949,0.40358036066868497,raw,-0.008042315969563354,-0.013586956521739135,0.007246376811594207
ret60_bucket,raw: 120%<ret60<=150%,2,0.041666666666666664,0.18191320645905415,0.18191320645905415,1.0,inf,0.21076655473889067,0.21076655473889067,1.0,inf,0.5,0.0,0.0,1.335200746965453,1.335200746965453,raw,0.09654900539637722,0.3125,-0.16666666666666666
ret60_bucket,raw: 150%<ret60<=200%,0,0.0,,,,,,,,,,,,,,raw,,,
ret60_bucket,raw: ret60>200%,0,0.0,,,,,,,,,,,,,,raw,,,
